array size,nanoseconds,operations 
648,2713625,419904
649,2746911,421201
650,2779571,422500
651,3080663,423801
652,2753330,425104
653,2951726,426409
654,2809577,427716
655,2776592,429025
656,2818616,430336
657,2823480,431649
658,2817699,432964
659,2828793,434281
660,2817417,435600
661,2844665,436921
662,2862731,438244
663,2849243,439569
664,2876450,440896
665,2870519,442225
666,2915964,443556
667,2890926,444889
668,2872997,446224
669,2883198,447561
670,2896089,448900
671,2976354,450241
672,2972526,451584
673,2935471,452929
674,2901673,454276
675,2972541,455625
676,2976448,456976
677,2966470,458329
678,2980363,459684
679,3003386,461041
680,2998414,462400
681,3021814,463761
682,3021720,465124
683,3018349,466489
684,3049182,467856
685,3012682,469225
686,3071508,470596
687,3090305,471969
688,3111816,473344
689,3088266,474721
690,3080527,476100
691,3118322,477481
692,3165994,478864
693,3164528,480249
694,3139690,481636
695,3155757,483025
696,3137384,484416
697,3148148,485809
698,3182815,487204
699,3164485,488601
700,3220454,490000
701,3177788,491401
702,3235986,492804
703,3202908,494209
704,3237896,495616
705,3303155,497025
706,3239179,498436
707,3252284,499849
708,3373229,501264
709,3283439,502681
710,3330409,504100
711,3280159,505521
712,3350898,506944
713,3333523,508369
714,3358104,509796
715,3348900,511225
716,3388639,512656
717,3391759,514089
718,3389490,515524
719,3405795,516961
720,3403689,518400
721,3392076,519841
722,3411874,521284
723,3421797,522729
724,3471003,524176
725,3443098,525625
726,3440552,527076
727,3484276,528529
728,3417941,529984
729,3444348,531441
730,3501484,532900
731,3463208,534361
732,3529674,535824
733,3528688,537289
734,3555680,538756
735,3560673,540225
736,3520509,541696
737,3583183,543169
738,3577677,544644
739,3585162,546121
740,3597282,547600
741,3591642,549081
742,3591279,550564
743,3586705,552049
744,3634999,553536
745,3653874,555025
746,3624714,556516
747,3649273,558009
748,3675033,559504
749,3651599,561001
750,3707594,562500
751,3734969,564001
752,3742203,565504
753,3698186,567009
754,3755400,568516
755,3739744,570025
756,3781592,571536
757,3787316,573049
758,4372855,574564
759,3776219,576081
760,3805843,577600
761,3826377,579121
762,3822355,580644
763,3781305,582169
764,3912408,583696
765,3837915,585225
766,3913042,586756
767,3880705,588289
768,3869002,589824
769,3827182,591361
770,3859103,592900
771,3939073,594441
772,3962294,595984
773,3924644,597529
774,3955641,599076
775,3938934,600625
776,3999969,602176
777,3978243,603729
778,4021959,605284
779,4255068,606841
780,4016203,608400
781,4102772,609961
782,4073366,611524
783,4009010,613089
784,4080764,614656
785,4115903,616225
786,4178082,617796
787,4063883,619369
788,4114600,620944
789,4041546,622521
790,4134789,624100
791,4143887,625681
792,4170799,627264
793,4144725,628849
794,4122015,630436
795,4146836,632025
796,4207146,633616
797,4227851,635209
798,4255970,636804
799,4285991,638401
800,4228354,640000
801,4268942,641601
802,4266532,643204
803,4274031,644809
804,4200910,646416
805,4310663,648025
806,4241494,649636
807,4295364,651249
808,4296460,652864
809,4292281,654481
810,4307171,656100
811,4367771,657721
812,4345310,659344
813,4359906,660969
814,4394659,662596
815,4428054,664225
816,4418691,665856
817,4324080,667489
818,4360138,669124
819,4467613,670761
820,4437363,672400
821,4440460,674041
822,4467017,675684
823,4468504,677329
824,4481091,678976
825,4505269,680625
826,4538564,682276
827,4510974,683929
828,4500654,685584
829,4577005,687241
830,4561253,688900
831,4608166,690561
832,4618672,692224
833,4562892,693889
834,4629271,695556
835,4658549,697225
836,4642406,698896
837,4634668,700569
838,4630466,702244
839,4633609,703921
840,4704358,705600
841,4700907,707281
842,4721660,708964
843,4701020,710649
844,4760648,712336
845,4742748,714025
846,4703250,715716
847,4805466,717409
848,4777776,719104
849,4883828,720801
850,4801360,722500
851,4772814,724201
852,4759620,725904
853,4841038,727609
854,4817419,729316
855,4838444,731025
856,4890922,732736
857,4855990,734449
858,4876712,736164
859,4887865,737881
860,4972669,739600
861,4898141,741321
862,4940636,743044
863,4955286,744769
864,4976266,746496
865,4983107,748225
866,4986511,749956
867,4966128,751689
868,4968585,753424
869,5027171,755161
870,5055183,756900
871,5821635,758641
872,5052154,760384
873,5123374,762129
874,5036691,763876
875,5008690,765625
876,5055333,767376
877,5105131,769129
878,5141773,770884
879,5163738,772641
880,5153652,774400
881,5168168,776161
882,5197219,777924
883,5185459,779689
884,5195013,781456
885,5193484,783225
886,5261544,784996
887,5247912,786769
888,5206531,788544
889,5165020,790321
890,5186208,792100
891,5200781,793881
892,5355839,795664
893,5344694,797449
894,5380541,799236
895,5312017,801025
896,5272678,802816
897,5369461,804609
898,5425249,806404
899,5421371,808201
900,5322206,810000
901,5431341,811801
902,5428140,813604
903,5456987,815409
904,5488594,817216
905,5466628,819025
906,5490928,820836
907,5462691,822649
908,5454618,824464
909,5506245,826281
910,5479075,828100
911,5551507,829921
912,5570447,831744
913,5519110,833569
914,5574747,835396
915,5553050,837225
916,5573442,839056
917,5620935,840889
918,5676594,842724
919,5691868,844561
920,6019040,846400
921,5657886,848241
922,5720743,850084
923,5666979,851929
924,5698170,853776
925,5725766,855625
926,5679620,857476
927,5757549,859329
928,5801495,861184
929,5786793,863041
930,5739630,864900
931,5872569,866761
932,5874098,868624
933,5879688,870489
934,5913369,872356
935,5868767,874225
936,6006466,876096
937,5937303,877969
938,6527710,879844
939,6510727,881721
940,5922003,883600
941,6220487,885481
942,8142874,887364
943,8073455,889249
944,6065836,891136
945,6105086,893025
946,6021255,894916
947,6505022,896809
948,6157185,898704
949,6204460,900601
950,7760111,902500
951,6087553,904401
952,6105862,906304
953,6088955,908209
954,6124705,910116
955,6192667,912025
956,6102615,913936
957,6196456,915849
958,6809281,917764
959,6156576,919681
960,6152035,921600
961,6216871,923521
962,6182157,925444
963,6111335,927369
964,6268682,929296
965,6267913,931225
966,6197038,933156
967,6276181,935089
968,6254436,937024
969,6189575,938961
970,6304166,940900
971,6348854,942841
972,6319085,944784
973,6369774,946729
974,6355457,948676
975,6384030,950625
976,9820954,952576
977,9906568,954529
978,6431526,956484
979,6517476,958441
980,6384306,960400
981,6432070,962361
982,6561961,964324
983,6475300,966289
984,6484939,968256
985,6479117,970225
986,6507753,972196
987,6554372,974169
988,6566436,976144
989,6560031,978121
990,6568230,980100
991,6653035,982081
992,6589570,984064
993,6660080,986049
994,7108822,988036
995,6687146,990025
996,6986694,992016
997,7721234,994009
998,9307072,996004
999,6662058,998001
1000,6635992,1000000
1001,6660548,1002001
1002,6833049,1004004
1003,6746498,1006009
1004,6712996,1008016
1005,6855360,1010025
1006,6806176,1012036
1007,6818621,1014049
1008,6797927,1016064
1009,6751437,1018081
1010,6900822,1020100
1011,6819263,1022121
1012,6867114,1024144
1013,6875359,1026169
1014,6889896,1028196
1015,6872269,1030225
1016,6932214,1032256
1017,6990146,1034289
1018,6945683,1036324
1019,6932112,1038361
1020,7021291,1040400
1021,7010622,1042441
1022,7109420,1044484
1023,7059645,1046529
1024,6967006,1048576
1025,7025203,1050625
1026,7159582,1052676
1027,7085203,1054729
1028,7070254,1056784
1029,7154966,1058841
1030,7131788,1060900
1031,7977389,1062961
1032,7201827,1065024
1033,7205454,1067089
1034,7237419,1069156
1035,7211149,1071225
1036,7245266,1073296
1037,7290266,1075369
1038,7290497,1077444
1039,7339960,1079521
1040,7269690,1081600
1041,7298079,1083681
1042,7319343,1085764
1043,7288528,1087849
1044,7314286,1089936
1045,7338667,1092025
1046,7448766,1094116
1047,7356697,1096209
1048,7466833,1098304
1049,7380168,1100401
1050,7384549,1102500
1051,7498077,1104601
1052,7410430,1106704
1053,7446197,1108809
1054,7466089,1110916
1055,7472379,1113025
1056,7545955,1115136
1057,7579414,1117249
1058,7541597,1119364
1059,7585036,1121481
1060,7547338,1123600
1061,7681262,1125721
1062,7594608,1127844
1063,7889311,1129969
1064,7702646,1132096
1065,7686095,1134225
1066,7637102,1136356
1067,7684425,1138489
1068,7724768,1140624
1069,7729990,1142761
1070,7756649,1144900
1071,7739184,1147041
1072,7765778,1149184
1073,7776362,1151329
1074,7782351,1153476
1075,7798710,1155625
1076,7732297,1157776
1077,7884684,1159929
1078,7844841,1162084
1079,7925810,1164241
1080,7853966,1166400
1081,7901856,1168561
1082,7885192,1170724
1083,7962287,1172889
1084,7932911,1175056
1085,8008147,1177225
1086,7922250,1179396
1087,7947930,1181569
1088,8005196,1183744
1089,8000115,1185921
1090,7984164,1188100
1091,8063287,1190281
1092,8104656,1192464
1093,8087426,1194649
1094,8131407,1196836
1095,8051703,1199025
1096,9117917,1201216
1097,9104874,1203409
1098,8181261,1205604
1099,8055782,1207801
1100,8241235,1210000
1101,8244195,1212201
1102,8246588,1214404
1103,8235680,1216609
1104,8228085,1218816
1105,8254952,1221025
1106,8203701,1223236
1107,8249614,1225449
1108,8216288,1227664
1109,8428598,1229881
1110,8223023,1232100
1111,8391321,1234321
1112,8420698,1236544
1113,8355246,1238769
1114,8413112,1240996
1115,8379898,1243225
1116,8465292,1245456
1117,8429732,1247689
1118,8748239,1249924
1119,8409134,1252161
1120,8429962,1254400
1121,8554735,1256641
1122,8534899,1258884
1123,8516142,1261129
1124,8785781,1263376
1125,8538521,1265625
1126,8521325,1267876
1127,8584342,1270129
1128,8606674,1272384
1129,8706404,1274641
1130,8666956,1276900
1131,8665221,1279161
1132,8665152,1281424
1133,8701617,1283689
1134,8537694,1285956
1135,8746239,1288225
1136,8794160,1290496
1137,8740517,1292769
1138,8724284,1295044
1139,8751836,1297321
1140,8874464,1299600
1141,8780137,1301881
1142,8843103,1304164
1143,8832298,1306449
1144,8815016,1308736
1145,8907267,1311025
1146,8935594,1313316
1147,8887580,1315609
1148,8895826,1317904
1149,8912768,1320201
1150,9045769,1322500
1151,8995360,1324801
1152,9001182,1327104
1153,8984774,1329409
1154,9859521,1331716
1155,9106813,1334025
1156,9001944,1336336
1157,9042326,1338649
1158,9127388,1340964
1159,9059398,1343281
1160,9054319,1345600
1161,9208605,1347921
1162,9218761,1350244
1163,9150033,1352569
1164,9268414,1354896
1165,9261741,1357225
1166,9294713,1359556
1167,9212165,1361889
1168,9285511,1364224
1169,9240251,1366561
1170,9313407,1368900
1171,9254170,1371241
1172,9309716,1373584
1173,9281563,1375929
1174,9332235,1378276
1175,9310741,1380625
1176,9426948,1382976
1177,9400897,1385329
1178,9446890,1387684
1179,9438128,1390041
1180,9929504,1392400
1181,9516960,1394761
1182,9420261,1397124
1183,9573941,1399489
1184,9545953,1401856
1185,9526267,1404225
1186,9555557,1406596
1187,9616335,1408969
1188,9562832,1411344
1189,9631780,1413721
1190,9547552,1416100
1191,9656752,1418481
1192,9643379,1420864
1193,9672330,1423249
1194,9718045,1425636
1195,9671392,1428025
1196,9731264,1430416
1197,9786132,1432809
1198,9676897,1435204
1199,9802609,1437601
1200,9810344,1440000
1201,9838004,1442401
1202,9795810,1444804
1203,9780207,1447209
1204,9818917,1449616
1205,9782791,1452025
1206,9851350,1454436
1207,11878911,1456849
1208,9914953,1459264
1209,9943199,1461681
1210,10014321,1464100
1211,9988554,1466521
1212,10004367,1468944
1213,10048430,1471369
1214,10045096,1473796
1215,9998824,1476225
1216,10089227,1478656
1217,10080751,1481089
1218,10143571,1483524
1219,10085633,1485961
1220,10126183,1488400
1221,10115486,1490841
1222,10165809,1493284
1223,10210391,1495729
1224,10189830,1498176
1225,10173718,1500625
1226,10357360,1503076
1227,10262178,1505529
1228,10271780,1507984
1229,10277831,1510441
1230,10508894,1512900
1231,10364995,1515361
1232,10348629,1517824
1233,10323745,1520289
1234,10360983,1522756
1235,10394861,1525225
1236,10420179,1527696
1237,10389987,1530169
1238,10257205,1532644
1239,10431264,1535121
1240,10320016,1537600
1241,10407250,1540081
1242,10551832,1542564
1243,10556036,1545049
1244,10422570,1547536
1245,10499602,1550025
1246,10679970,1552516
1247,10504893,1555009
1248,10610019,1557504
1249,10593621,1560001
1250,10687039,1562500
1251,10549566,1565001
1252,10726898,1567504
1253,10683755,1570009
1254,10720224,1572516
1255,10801591,1575025
1256,10823807,1577536
1257,10825487,1580049
1258,10892884,1582564
1259,10845531,1585081
1260,10823433,1587600
1261,10776369,1590121
1262,10906053,1592644
1263,10980952,1595169
1264,10826787,1597696
1265,10974237,1600225
1266,10953521,1602756
1267,10916689,1605289
1268,10931169,1607824
1269,10905509,1610361
1270,10961673,1612900
1271,10956717,1615441
1272,11068501,1617984
1273,10970004,1620529
1274,10991162,1623076
1275,11077324,1625625
1276,11122226,1628176
1277,11564393,1630729
1278,11229405,1633284
1279,11174701,1635841
1280,11255066,1638400
1281,11213891,1640961
1282,11157842,1643524
1283,11246808,1646089
1284,11298790,1648656
1285,11270644,1651225
1286,11147995,1653796
1287,11185576,1656369
1288,11421430,1658944
1289,11136147,1661521
1290,11313448,1664100
1291,11371162,1666681
1292,11393624,1669264
1293,11416117,1671849
1294,11383289,1674436
1295,11444654,1677025
1296,11290363,1679616
1297,11497624,1682209
1298,11511689,1684804
1299,11590741,1687401
1300,11583208,1690000
1301,11615733,1692601
1302,11565572,1695204
1303,11571500,1697809
1304,11631578,1700416
1305,11544216,1703025
1306,11567138,1705636
1307,11597616,1708249
1308,11762104,1710864
1309,11705376,1713481
1310,11717959,1716100
1311,11706407,1718721
1312,11755993,1721344
1313,11765642,1723969
1314,11662959,1726596
1315,11857740,1729225
1316,11887296,1731856
1317,11743135,1734489
1318,11866115,1737124
1319,11884115,1739761
1320,12266335,1742400
1321,11782543,1745041
1322,11911736,1747684
1323,11901120,1750329
1324,12086641,1752976
1325,11927990,1755625
1326,12318124,1758276
1327,11992059,1760929
1328,12111814,1763584
1329,12059943,1766241
1330,12066480,1768900
1331,12184726,1771561
1332,12070993,1774224
1333,12171306,1776889
1334,12185209,1779556
1335,12221127,1782225
1336,12205716,1784896
1337,12173321,1787569
1338,12270235,1790244
1339,12230571,1792921
1340,12226157,1795600
1341,13029040,1798281
1342,14050699,1800964
1343,12343040,1803649
1344,12292668,1806336
1345,12334922,1809025
1346,12427241,1811716
1347,12310309,1814409
1348,12376706,1817104
1349,12448402,1819801
1350,12686685,1822500
1351,12529564,1825201
1352,12520451,1827904
1353,12544182,1830609
1354,12564819,1833316
1355,12669420,1836025
1356,12516612,1838736
1357,12695238,1841449
1358,12640495,1844164
1359,12584424,1846881
1360,12999842,1849600
1361,12707877,1852321
1362,12822341,1855044
1363,12686620,1857769
1364,12732288,1860496
1365,12822528,1863225
1366,12827266,1865956
1367,12808514,1868689
1368,12789390,1871424
1369,12851175,1874161
1370,12869196,1876900
1371,12930926,1879641
1372,12988480,1882384
1373,12915860,1885129
1374,12908529,1887876
1375,12864482,1890625
1376,12792619,1893376
1377,12995600,1896129
1378,13083236,1898884
1379,13078499,1901641
1380,13396494,1904400
1381,13249659,1907161
1382,15785375,1909924
1383,19778915,1912689
1384,13238200,1915456
1385,13194390,1918225
1386,13158268,1920996
1387,13125518,1923769
1388,13416974,1926544
1389,13130732,1929321
1390,13181744,1932100
1391,13175521,1934881
1392,13306520,1937664
1393,13383168,1940449
