minDistance,,,minDistance2,,
array size,nanoseconds,operations1,array size,nanoseconds,operations2
472,917081,222784,472,729179,111156
473,846169,223729,473,467739,111628
474,842649,224676,474,461696,112101
475,836428,225625,475,464116,112575
476,840084,226576,476,494354,113050
477,849831,227529,477,803025,113526
478,1572699,228484,478,800981,114003
479,1479666,229441,479,797997,114481
480,1527632,230400,480,775243,114960
481,1413662,231361,481,763064,115440
482,1351846,232324,482,792880,115921
483,1524167,233289,483,799563,116403
484,1417179,234256,484,957416,116886
485,1473080,235225,485,897599,117370
486,1651138,236196,486,887413,117855
487,1674709,237169,487,886192,118341
488,1642038,238144,488,883600,118828
489,1676488,239121,489,881676,119316
490,1700252,240100,490,843078,119805
491,1665508,241081,491,856724,120295
492,1604289,242064,492,834651,120786
493,1618870,243049,493,866156,121278
494,1731261,244036,494,874944,121771
495,1735476,245025,495,897281,122265
496,1751372,246016,496,868667,122760
497,1728855,247009,497,910441,123256
498,1743376,248004,498,920802,123753
499,1737342,249001,499,937141,124251
500,1751073,250000,500,950741,124750
501,1656634,251001,501,856813,125250
502,1805965,252004,502,894901,125751
503,1611264,253009,503,902423,126253
504,1512007,254016,504,829706,126756
505,1696330,255025,505,909063,127260
506,1799851,256036,506,944271,127765
507,1833995,257049,507,901632,128271
508,1779711,258064,508,948395,128778
509,1841226,259081,509,931021,129286
510,1615605,260100,510,890553,129795
511,1773649,261121,511,863704,130305
512,1608933,262144,512,871817,130816
513,1617005,263169,513,889329,131328
514,1634546,264196,514,873535,131841
515,1700910,265225,515,919803,132355
516,1742804,266256,516,934826,132870
517,1805518,267289,517,893456,133386
518,1619869,268324,518,946757,133903
519,1904687,269361,519,977222,134421
520,1654664,270400,520,990738,134940
521,1789360,271441,521,949522,135460
522,1859727,272484,522,986484,135981
523,1647432,273529,523,891967,136503
524,1669543,274576,524,946019,137026
525,1704809,275625,525,925480,137550
526,1734036,276676,526,936515,138075
527,1781488,277729,527,1032432,138601
528,1772799,278784,528,742388,139128
529,1733187,279841,529,986070,139656
530,1590634,280900,530,1013769,140185
531,1939082,281961,531,972503,140715
532,1714689,283024,532,933287,141246
533,1776056,284089,533,945302,141778
534,1755293,285156,534,975536,142311
535,1981904,286225,535,992307,142845
536,1949738,287296,536,995987,143380
537,1968713,288369,537,986684,143916
538,1991158,289444,538,993869,144453
539,2015218,290521,539,1010959,144991
540,1839187,291600,540,983812,145530
541,1816522,292681,541,977182,146070
542,1861830,293764,542,985948,146611
543,1811023,294849,543,1027404,147153
544,2016978,295936,544,1082811,147696
545,1929387,297025,545,1076193,148240
546,2015801,298116,546,1053078,148785
547,2009742,299209,547,1053108,149331
548,1974070,300304,548,1161794,149878
549,2190543,301401,549,1175959,150426
550,2179834,302500,550,1083102,150975
551,2026719,303601,551,1067773,151525
552,2033617,304704,552,1071728,152076
553,2040032,305809,553,1080432,152628
554,2134931,306916,554,1131710,153181
555,2215826,308025,555,1202616,153735
556,2152031,309136,556,1183543,154290
557,2179350,310249,557,1208987,154846
558,2149338,311364,558,1123892,155403
559,2153177,312481,559,1293169,155961
560,2453966,313600,560,1315834,156520
561,2246120,314721,561,1140120,157080
562,2228907,315844,562,1125201,157641
563,2191450,316969,563,1197143,158203
564,2233848,318096,564,1143647,158766
565,2208530,319225,565,1155183,159330
566,2234643,320356,566,1124553,159895
567,2243270,321489,567,1149502,160461
568,2286795,322624,568,1236884,161028
569,2380287,323761,569,1282947,161596
570,2397012,324900,570,1307459,162165
571,2406368,326041,571,1310815,162735
572,2363074,327184,572,1260331,163306
